time,x,y,z,MF
5.782,1.92,-38.94,-5.88,39.43
5.803,1.86,-38.94,-5.88,39.43
5.805,1.80,-38.94,-5.88,39.42
5.807,1.74,-38.94,-5.88,39.42
5.820,1.74,-38.94,-5.88,39.42
5.827,1.68,-38.94,-5.94,39.43
5.839,1.62,-38.94,-5.94,39.42
5.847,1.56,-38.94,-5.94,39.42
5.856,1.50,-38.94,-5.94,39.42
5.889,1.44,-38.94,-5.94,39.42
5.891,1.44,-38.94,-5.94,39.42
5.892,1.44,-38.94,-6.00,39.43
5.896,1.44,-38.94,-6.00,39.43
5.908,1.38,-38.94,-6.00,39.42
5.916,1.38,-38.94,-5.94,39.41
5.928,1.38,-38.94,-5.94,39.41
5.940,1.32,-38.94,-5.94,39.41
5.947,1.32,-38.94,-5.88,39.40
5.956,1.26,-39.00,-5.88,39.46
5.967,1.26,-39.00,-5.82,39.45
5.986,1.26,-39.06,-5.82,39.51
5.994,1.26,-39.12,-5.82,39.57
5.995,1.20,-39.18,-5.82,39.63
6.014,1.20,-39.24,-5.82,39.69
6.016,1.20,-39.30,-5.88,39.76
6.026,1.20,-39.36,-5.94,39.82
6.037,1.20,-39.42,-5.94,39.88
6.046,1.20,-39.42,-5.94,39.88
6.056,1.20,-39.48,-6.00,39.95
6.066,1.20,-39.48,-6.00,39.95
6.075,1.26,-39.48,-6.00,39.95
6.110,1.26,-39.48,-6.00,39.95
6.112,1.26,-39.48,-5.94,39.94
6.114,1.26,-39.48,-5.88,39.94
6.115,1.32,-39.48,-5.82,39.93
6.128,1.32,-39.48,-5.76,39.92
6.143,1.38,-39.42,-5.70,39.85
6.146,1.38,-39.42,-5.64,39.85
6.158,1.38,-39.42,-5.64,39.85
6.166,1.38,-39.42,-5.58,39.84
6.175,1.38,-39.36,-5.58,39.78
6.185,1.38,-39.36,-5.64,39.79
6.202,1.38,-39.30,-5.64,39.73
6.205,1.38,-39.30,-5.64,39.73
6.219,1.38,-39.24,-5.64,39.67
6.225,1.38,-39.24,-5.64,39.67
6.234,1.44,-39.24,-5.70,39.68
6.245,1.44,-39.24,-5.70,39.68
6.256,1.50,-39.24,-5.70,39.68
6.266,1.56,-39.24,-5.70,39.68
6.277,1.56,-39.30,-5.76,39.75
